"","AID","row.names","PT","BA","BE","Z2","Y1","AE","Z3","BS","VL","MA","BP","EP","AR","SU","PD","AK","CT","CY","SP","CL"
"1","C001","J","Abdollahi, Z; Gomes, VG","","","Synthesis and characterization of polyacrylamide with controlled molar weight","","","ResearchGate",NA,"","1","7","","","",2011,"","","","",1
"2","C002","J","Akilla, B.; Manickavasakam, K.","","","Anatomical studies on the seeds of Alternanthera sessilis Linn","","","ResearchGate",NA,"","","","","","",2014,"","","","",1
"3","C003","J","Allis, D. G.; Korter, T. M.","","","Development of Computational Methodologies for the Prediction and Analysis of Solid-State Terahertz Spectra, 2","","","ResearchGate",17,"","193","212","","","",2007,"","","","",1
"4","C004","J","Arbizu, PM","","","","","","How can I do PerMANOVA pairwise contrasts in R? ResearchGate",NA,"","","","","","Jan 30",2016,"","","","",1
"5","C005","J","Polovodova Asteman, I. R.; Schonfeld, J.","","","Recent invasion of the foraminifer Nonionella stella Cushman & Moyer, 1930 in northern European waters: evidence from the Skagerrak and its Fjords","","","ResearchGate",35,"1","","","","","",2015,"","","","",1
"6","C006","J","Aucoin, M.; Fry, M.","","","Growing local food movements: Farmers' markets as nodes for products and community","","","ResearchGate",56,"","61","78","","","",2015,"","","","",1
"7","C007","J","Auerswald, K.; Hafner, B.D.; Konig, A.","","","Data of Hoof growth rates of the European roe deer (Capreolus capreolus) for dating the hoof's isotopic archive published in Forests","","","ResearchGate",NA,"","","","","DOI 10.13140/RG.2.2.21031.85925","",2017,"","","","",1
"8","C008","J","Bako-Biro, Z.; Kochhar, N.; Clements-Croome, D.J.; Awbi, H.B.; Willianis, M.","","","Ventilation Rates in Schools and Learning Performance","","","ResearchGate",NA,"","","","","","",2007,"","","","",1
"9","C009","J","Bandyopadhyay, A. K.","","","Generalized Thevenins ' theorem and its proof","","","ResearchGate",NA,"","","","","10.13140/RG.2.1.3332.5605","Apr. 24",2015,"","","","",1
"10","C010","J","Bartram, J.","","","Water quality: guidelines, standards, and health: assessment of risk and risk management for water-related infectious disease","","","ResearchGate",NA,"","","","","","",2001,"","","","",1
"11","C011","J","Bentaha, M. L.; Dolgui, A.; Battaia, O.","","","Problem Instances I Have Used in the Numerical Experiments of My Work on Disassembly Line Design and Balancing under Uncertainty","","","Researchgate",1,"","1","14","","DOI 10.13140/RG.2.1.5163.5043","",2015,"","","","",1
"12","C012","J","Bhattacharyya, A. S.; Gaurav, K.; Kommu, P. Y.","","","","","","Researchgate",NA,"","","","","10.13140/RG.2.1.5077.8082","",2015,"","","","",1
"13","C013","J","Bhavanani, AB","","","Yoga for health in children","","","ResearchGate",NA,"","","","","","",2007,"","","","",1
"14","C014","J","Bobadila, R.; Berr, A.","","","Histone Methylation-A corertone for plant responses to environmental stresses?","","","ResearchGate",NA,"","31","61","","","",2016,"","","","",1
"15","C015","J","Bollen, K. A.; Jackman, R. W.","","","Regression diagnos-tics: an expository treatment of outliers and influential cases","","","ResearchGate",13,"","510","542","","","",1990,"","","","",1
"16","C016","J","Boyd, Danah","","","Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications","","","ResearchGate",NA,"","","","","","",2010,"","","","",3
"17","C017","J","BRADBURY IR","","","","","","RESEARCHGATE",340,"","245","","","","",2007,"","","","",1
"18","C018","J","Brocca, L.; Ciabatta, L.; Massari, C.; Hahn, S.; Wagner, W.","","","SM2RAIN-ASCAT (1 Jan 2007-30 June 2015) global daily rainfall dataset","","","ResearchGate",NA,"","","","","10.13140/RG.2.1.4434.8563","",2016,"","","","",1
"19","C019","J","Brunick, KL; Cutting, JE","","","Coloring the animated world, Exploring human color perception and preference through the animated film","","","ResearchGate",43,"2","41","45","","","",2016,"","","","",1
"20","C020","J","CAMPUZANO, R.","","","Evaluacion del periodo de espera voluntario en vacas especializadas en produccion de leche","","","ResearchGate",NA,"","","","","","",2007,"","","","",1
"21","C021","J","Champlain, A. F. D.; Gessaroli, M. E.; Tang, K. L.; Champlain, J. E. D.","","","Assessing the dimensionality of polytomous item responses with small sample sizes and short test lengths: A comparison of procedures","","","ResearchGate",NA,"","","","","","",1999,"","","","",1
"22","C022","J","Chaslot, G; Bakkes, S; Szita, I; Spronck, P","","","Monte-Carlo Tree Search: A New Framework for Game AI","","","ResearchGate",NA,"","","","","","",2008,"","","","",1
"23","C023","J","Chatterjee, N.; Bhattacharjee, B.; Chatterjee, N.","","","Quantitative study on the impact of the seasonal change in the aquatic physicochemical parameters on zooplankton population density in Saheb bandh, Purulia, West Bengal, India","","","ResearchGate",NA,"","11","19","","","",2015,"","","","",1
"24","C024","J","Chen, G. Z.","","","","","","ResearchGate",NA,"","","","","","",2015,"","","","",1
"25","C025","J","Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer","","","","","","Research Gate",NA,"","515","515","","","",2010,"","","","",1
"26","C026","J","Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.","","","History and applications of hydrogels","","","ResearchGate",4,"2","13","23","","","Dec 1",2015,"","","","",2
"27","C027","J","Clifford, M. N.","","","","","","Researchgate",NA,"","","","","10.13140/RG.2.2.21311.71848","",2017,"","","","",2
"28","C028","J","Cribb, V.; Orsini-Jones, M.","","","The added value of foreign language knowledge on metalinguistic awareness at university","","","ResearchGate",NA,"","","","","DOI 10.13140/RG.2.1.2080.4968","",2015,"","","","",1
"29","C029","J","Crippen, G.; Havel, T. F.","","","","","","ResearchGate",NA,"","","","","","",1988,"","","","",1
"30","C030","J","Dabiri, JO; Gharib, M","","","The role of optimal vortex formation in biological fluid transport","","","ResearchGate",272,"1572","1557","1560","","","",NA,"","","","",1
"31","C031","J","Dat, L.D.; Thao, N.P.; Luyen, B.T.T.; Tai, B.H.; Jeong, M.H.; Woo, M.H.; Kim, Y.H.","","","Identification of six new lupane-type triterpenoids from Acanthopanax koreanum leaves and their tyrosinase inhibitory activities","","","ResearchGate.",NA,"","","","","","",2015,"","","","",1
